This list contains all games supported by FB Alpha.

6006 games supported in total; X = excluded from build; D = included in debug build only; NW = not working

  name		  status  full name						  parent	  year	  company	  hardware	  remarks
+---------------+-------+-------------------------------------------------------+---------------+-------+---------------+---------------+---------------------------------------+
| 88games	|  	| '88 Games						| 		| 1988	| Konami	| GX861		| 					|
| mooncrsb	|  	| Moon Cresta (bootleg set 1)				| mooncrst	| 1980	| bootleg	| Galaxian	| 					|
| mooncrs2	|  	| Moon Cresta (bootleg set 2)				| mooncrst	| 1980	| Nichibutsu	| Galaxian	| 					|
| mooncrs3	|  	| Moon Cresta (bootleg set 3)				| mooncrst	| 1980	| bootleg	| Galaxian	| 					|
| mooncreg	|  	| Moon Cresta (Electrogame S.A. Spanish bootleg)	| mooncrst	| 1980	| bootleg (Elect| Galaxian	| 					|
| mooncrgx	|  	| Moon Cresta (Galaxian hardware)			| mooncrst	| 1980	| bootleg	| Galaxian	| 					|
| mooncrstg	|  	| Moon Cresta (Gremlin)					| mooncrst	| 1980	| Gremlin	| Galaxian	| 					|
| mooncrstuk	|  	| Moon Cresta (Nichibutsu UK)				| mooncrst	| 1980	| Nichibutsu UK	| Galaxian	| 					|
| mooncrstuku	|  	| Moon Cresta (Nichibutsu UK, unencrypted)		| mooncrst	| 1980	| Nichibutsu UK	| Galaxian	| 					|
| mooncrstu	|  	| Moon Cresta (Nichibutsu USA, unencrypted)		| mooncrst	| 1980	| Nichibutsu USA| Galaxian	| 					|
| mooncrst	|  	| Moon Cresta (Nichibutsu)				| 		| 1980	| Nichibutsu	| Galaxian	| 					|
| mooncrsto	|  	| Moon Cresta (Nichibutsu, old rev)			| mooncrst	| 1980	| Nichibutsu	| Galaxian	| 					|
| mooncptc	|  	| Moon Cresta (Petaco S.A. Spanish bootleg)		| mooncrst	| 1980?	| bootleg (Petac| Galaxian	| 					|
| mooncrstso	|  	| Moon Cresta (SegaSA / Sonic)				| mooncrst	| 1980	| Nichibutsu (So| Galaxian	| 					|
| mpatrol	|  	| Moon Patrol						| 		| 1982	| Irem		| Miscellaneous	| 					|
| mpatrolw	|  	| Moon Patrol (Williams)				| mpatrol	| 1982	| Irem (Williams| Miscellaneous	| 					|
| moonqsr	|  	| Moon Quasar						| 		| 1980	| Nichibutsu	| Galaxian	| 					|
| mranger	|  	| Moon Ranger (bootleg of Moon Patrol)			| mpatrol	| 1982	| bootleg	| Miscellaneous	| 					|
| mshuttlej2	|  	| Moon Shuttle (Japan set 2)				| mshuttle	| 1981	| Nichibutsu	| Galaxian	| Incomplete Sound			|
| mshuttlej	|  	| Moon Shuttle (Japan)					| mshuttle	| 1981	| Nichibutsu	| Galaxian	| Incomplete Sound			|
| mshuttlea	|  	| Moon Shuttle (US, version A)				| mshuttle	| 1981	| Nichibutsu	| Galaxian	| Incomplete Sound			|
| mshuttle	|  	| Moon Shuttle (US? set 1)				| 		| 1981	| Nichibutsu	| Galaxian	| Incomplete Sound			|
| mshuttle2	|  	| Moon Shuttle (US? set 2)				| mshuttle	| 1981	| Nichibutsu	| Galaxian	| Incomplete Sound			|
| mooncmw	|  	| Moon War (Moon Cresta bootleg)			| mooncrst	| 198?	| bootleg	| Galaxian	| 					|
| moonwar	|  	| Moonwar						| 		| 1981	| Stern		| Galaxian	| 					|
| moonwara	|  	| Moonwar (older)					| moonwar	| 1981	| Stern		| Galaxian	| 					|
| moremore	|  	| More More						| 		| 1999	| SemiCom / Exit| Kaneko Pandora| 					|
| moremorp	|  	| More More Plus					| 		| 1999	| SemiCom / Exit| Kaneko Pandora| 					|
| quizhuhu	|  	| Moriguchi Hiroko no Quiz de Hyuu!Hyuu! (Ver 2.2J 1995/| 		| 1995	| Taito Corporat| Taito F3 Syste| 					|
| mkr4		|  	| Mortal Kombat (rev 4.0 T-Unit 02/11/93)		| mk		| 1992	| Midway	| Midway T-Unit	| 					|
| mk		|  	| Mortal Kombat (rev 5.0 T-Unit 03/19/93)		| 		| 1992	| Midway	| Midway T-Unit	| 					|
| mktturbo	|  	| Mortal Kombat (Turbo Ninja T-Unit 03/19/93, hack)	| mk		| 1992	| Hack		| Midway T-Unit	| 					|
| mk3p40	|  	| Mortal Kombat 3 (rev 1 chip label p4.0)		| mk3		| 1994	| Midway	| MIDWAY Wolf-Un| 					|
| mk3r10	|  	| Mortal Kombat 3 (rev 1.0)				| mk3		| 1994	| Midway	| MIDWAY Wolf-Un| 					|
| mk3r20	|  	| Mortal Kombat 3 (rev 2.0)				| mk3		| 1994	| Midway	| MIDWAY Wolf-Un| 					|
| mk3		|  	| Mortal Kombat 3 (rev 2.1)				| 		| 1994	| Midway	| MIDWAY Wolf-Un| 					|
| mk2r11	|  	| Mortal Kombat II (rev L1.1)				| mk2		| 1993	| Midway	| Midway T-Unit	| 					|
| mk2r14	|  	| Mortal Kombat II (rev L1.4)				| mk2		| 1993	| Midway	| Midway T-Unit	| 					|
| mk2r20	|  	| Mortal Kombat II (rev L2.0)				| mk2		| 1993	| Midway	| Midway T-Unit	| 					|
| mk2r21	|  	| Mortal Kombat II (rev L2.1)				| mk2		| 1993	| Midway	| Midway T-Unit	| 					|
| mk2r30	|  	| Mortal Kombat II (rev L3.0)				| mk2		| 1993	| Midway	| Midway T-Unit	| 					|
| mk2r31e	|  	| Mortal Kombat II (rev L3.1 (European))		| mk2		| 1993	| Midway	| Midway T-Unit	| 					|
| mk2		|  	| Mortal Kombat II (rev L3.1)				| 		| 1993	| Midway	| Midway T-Unit	| 					|
| mk2r32e	|  	| Mortal Kombat II (rev L3.2 (European))		| mk2		| 1993	| Midway	| Midway T-Unit	| 					|
| mk2r42	|  	| Mortal Kombat II (rev L4.2, hack)			| mk2		| 1993	| hack		| Midway T-Unit	| 					|
| mk2r91	|  	| Mortal Kombat II (rev L9.1, hack)			| mk2		| 1993	| hack		| Midway T-Unit	| 					|
| mk2chal	|  	| Mortal Kombat II Challenger (hack)			| mk2		| 1993	| hack		| Midway T-Unit	| 					|
| mk2ute	|  	| Mortal Kombat II Ultimate Tournament Edition (hack, V5| mk2		| 2014	| hack		| Midway T-Unit	| 					|
| mosaic	|  	| Mosaic						| 		| 1990	| Space		| Miscellaneous	| 					|
| mosaica	|  	| Mosaic (Fuuki)					| mosaic	| 1990	| Space (Fuuki l| Miscellaneous	| 					|
| motorace	|  	| MotoRace USA						| travrusa	| 1983	| Irem (Williams| Miscellaneous	| 					|
| motos		|  	| Motos							| 		| 1985	| Namco		| Miscellaneous	| 					|
| mototour	|  	| MotoTour / Zippy Race (Tecfri license)		| travrusa	| 1983	| Irem (Tecfri l| Miscellaneous	| 					|
| msgogo	|  	| Mouse Shooter GoGo					| 		| 1995	| Metro		| Miscellaneous	| 					|
| mouser	|  	| Mouser						| 		| 1983	| UPL		| Miscellaneous	| 					|
| mouserc	|  	| Mouser (Cosmos)					| mouser	| 1983	| UPL (Cosmos li| Miscellaneous	| 					|
| mrdo		|  	| Mr. Do!						| 		| 1982	| Universal	| Miscellaneous	| 					|
| mrdofix	|  	| Mr. Do! (bugfixed)					| mrdo		| 1982	| Universal (Tai| Miscellaneous	| 					|
| mrdoy		|  	| Mr. Do! (prototype)					| mrdo		| 1982	| Universal	| Miscellaneous	| 					|
| mrdot		|  	| Mr. Do! (Taito license)				| mrdo		| 1982	| Universal (Tai| Miscellaneous	| 					|
| dowild	|  	| Mr. Do's Wild Ride					| 		| 1984	| Universal	| Miscellaneous	| 					|
| docastle	|  	| Mr. Do\'s Castle (set 1)				| 		| 1983	| Universal	| Miscellaneous	| 					|
| mrdu		|  	| Mr. Du!						| mrdo		| 1982	| Bootleg	| Miscellaneous	| 					|
| mrgoemon	|  	| Mr. Goemon (Japan)					| 		| 1986	| Konami	| GX621		| 					|
| mrheli	|  	| Mr. HELI no Dai-Bouken				| bchopper	| 1987	| Irem		| Irem M72	| 					|
| mrjong	|  	| Mr. Jong (Japan)					| 		| 1983	| Kiwako	| Miscellaneous	| 					|
| mrkougar	|  	| Mr. Kougar						| 		| 1984	| ATW		| Galaxian	| 					|
| mrkougb	|  	| Mr. Kougar (bootleg set 1)				| mrkougar	| 1983	| bootleg	| Galaxian	| 					|
| mrkougb2	|  	| Mr. Kougar (bootleg set 2)				| mrkougar	| 1983	| bootleg	| Galaxian	| 					|
| mrkougar2	|  	| Mr. Kougar (earlier)					| mrkougar	| 1983	| ATW		| Galaxian	| 					|
| mrlo		|  	| Mr. Lo!						| mrdo		| 1982	| Bootleg	| Miscellaneous	| 					|
| mrtnt		|  	| Mr. TNT						| 		| 1982	| Telko		| Pac-man	| 					|
| donight	|  	| Mr.Do's Nightmare (hack by Krazy Ivan)		| 		| 2013	| Krazy Ivan	| Galaxian	| 					|
| mspacman	|  	| MS Pacman						| 		| 1980	| Namco		| Pac-man	| 					|
| mspacmab	|  	| MS Pacman (bootleg)					| mspacman	| 1981	| Namco		| Pac-man	| 					|
| mspacmat	|  	| Ms. Pac Attack					| mspacman	| 1980	| hack		| Pac-man	| 					|
| mspacmanbg	|  	| Ms. Pac-Man ('Made in Greece' bootleg)		| mspacman	| 198?	| bootleg	| Pac-man	| 					|
| mspacmbe	|  	| Ms. Pac-Man (bootleg, encrypted)			| mspacman	| 1981	| bootleg	| Pac-man	| 					|
| mspacmnf	|  	| Ms. Pac-Man (with speedup hack)			| mspacman	| 1980	| Midway	| Pac-man	| 					|
| msheartb	|  	| Ms. Pac-Man Heart Burn				| mspacman	| 1980	| hack (Two-Bit | Pac-man	| 					|
| mspacpls	|  	| Ms. Pac-Man Plus					| mspacman	| 1981	| hack		| Pac-man	| 					|
| 20pacgalr0	|  	| Ms. Pac-Man/Galaga - 20th Anniversary Class of 1981 Re| 20pacgal	| 2000	| Namco / Cosmod| Miscellaneous	| 					|
| 20pacgalr1	|  	| Ms. Pac-Man/Galaga - 20th Anniversary Class of 1981 Re| 20pacgal	| 2000	| Namco / Cosmod| Miscellaneous	| 					|
| 20pacgalr2	|  	| Ms. Pac-Man/Galaga - 20th Anniversary Class of 1981 Re| 20pacgal	| 2000	| Namco / Cosmod| Miscellaneous	| 					|
| 20pacgalr3	|  	| Ms. Pac-Man/Galaga - 20th Anniversary Class of 1981 Re| 20pacgal	| 2000	| Namco / Cosmod| Miscellaneous	| 					|
| 20pacgalr4	|  	| Ms. Pac-Man/Galaga - 20th Anniversary Class of 1981 Re| 20pacgal	| 2000	| Namco / Cosmod| Miscellaneous	| 					|
| 20pacgal	|  	| Ms. Pac-Man/Galaga - 20th Anniversary Class of 1981 Re| 		| 2000	| Namco / Cosmod| Miscellaneous	| 					|
| mschamps	|  	| Ms. Pacman Champion Edition / Super Zola Pac Gal	| mspacman	| 1995	| hack		| Pac-man	| 					|
| mschamp	|  	| Ms. Pacman Champion Edition / Zola-Puc Gal		| mspacman	| 1995	| hack		| Pac-man	| 					|
| rocktrv2	|  	| MTV Rock-N-Roll Trivia (Part 2)			| 		| 1986	| Triumph Softwa| Pac-man	| 					|
| mugsmash	|  	| Mug Smashers						| 		| 1990?	| Electronic Dev| Miscellaneous	| 					|
| semibase	|  	| MuHanSeungBu (SemiCom Baseball) (Korea)		| 		| 1997	| SemiCom	| Miscellaneous	| 					|
| nmg5		|  	| Multi 5 / New Multi Game 5 (set 1)			| 		| 1998	| Yun Sung	| Miscellaneous	| 					|
| nmg5a		|  	| Multi 5 / New Multi Game 5 (set 2)			| nmg5		| 1997	| Yun Sung	| Miscellaneous	| 					|
| nmg5e		|  	| Multi 5 / New Multi Game 5 (set 3, earlier)		| nmg5		| 1997	| Yun Sung	| Miscellaneous	| 					|
| multchmpk	|  	| Multi Champ (Korea, older)				| multchmp	| 1999	| ESD		| Miscellaneous	| 					|
| multchmp	|  	| Multi Champ (World)					| 		| 1999	| ESD		| Miscellaneous	| 					|
| multchmpa	|  	| Multi Champ (World, older)				| multchmp	| 1999	| ESD		| Miscellaneous	| 					|
| mchampdx	|  	| Multi Champ Deluxe (ver. 0106, 06/01/2000)		| 		| 2000	| ESD		| Miscellaneous	| 					|
| mchampdxa	|  	| Multi Champ Deluxe (ver. 1126, 26/11/1999)		| mchampdx	| 1999	| ESD		| Miscellaneous	| 					|
| multi96	|  	| Multi Game '96 (Italy)				| twinadv	| 1996	| Barko Corp	| Kaneko Pandora| 					|
| mltiwars	|  	| Multi Wars (bootleg of UniWar S)			| uniwars	| 1980	| bootleg (Gayto| Galaxian	| 					|
| mnchmobl	|  	| Munch Mobile (US)					| joyfulr	| 1983	| SNK (Centuri l| Miscellaneous	| 					|
| mbomberj	|  	| Muscle Bomber - the body explosion (930713 Japan)	| slammast	| 1993	| Capcom	| CPS1		| 					|
| mbombdje	| X	| Muscle Bomber Duo - heat up warriors (931206 Japan E)	| mbombrd	| 1993	| Capcom	| CPS1		| 					|
| mbombrdj	|  	| Muscle Bomber Duo - heat up warriors (931206 Japan)	| mbombrd	| 1993	| Capcom	| CPS1		| 					|
| mbombrda	| X	| Muscle Bomber Duo - ultimate team battle (931206 Asia)| mbombrd	| 1993	| Capcom	| CPS1		| 					|
| mbombrd	|  	| Muscle Bomber Duo - ultimate team battle (931206 etc)	| 		| 1993	| Capcom	| CPS1		| 					|
| mbombrdh	| X	| Muscle Bomber Duo - ultimate team battle (931206 Hispa| mbombrd	| 1993	| Capcom	| CPS1		| 					|
| mbombrdu	| X	| Muscle Bomber Duo - ultimate team battle (931206 USA)	| mbombrd	| 1993	| Capcom	| CPS1		| 					|
| musicbal	|  	| Music Ball						| 		| 1988	| Tecfri / Desys| Miscellaneous	| 					|
| mustachei	|  	| Mustache Boy (Italy)					| mustache	| 1987	| Seibu Kaihatsu| Miscellaneous	| 					|
| mustache	|  	| Mustache Boy (Japan)					| 		| 1987	| Seibu Kaihatsu| Miscellaneous	| 					|
| alibabab	|  	| Mustafa and 40 Thieves (bootleg)			| alibaba	| 1982	| bootleg	| Pac-man	| 					|
| mutantf2	|  	| Mutant Fighter (World ver EM-2)			| mutantf	| 1992	| Data East Corp| DECO IC16	| 					|
| mutantf3	|  	| Mutant Fighter (World ver EM-3)			| mutantf	| 1992	| Data East Corp| DECO IC16	| 					|
| mutantf4	|  	| Mutant Fighter (World ver EM-4)			| mutantf	| 1992	| Data East Corp| DECO IC16	| 					|
| mutantf	|  	| Mutant Fighter (World ver EM-5)			| 		| 1992	| Data East Corp| DECO IC16	| 					|
| mnight	|  	| Mutant Night						| 		| 1987	| UPL		| Miscellaneous	| 					|
| mnightj	|  	| Mutant Night (Japan)					| mnight	| 1987	| UPL (Kawakus l| Miscellaneous	| 					|
| mutantwarr	| D NW	| Mutant Warrior (Altered Beast - Datsu bootleg)	| altbeast	| 1988	| bootleg (Datsu| System 16B	| no Sound				|
| mutnat	|  	| Mutation Nation (NGM-014)(NGH-014)			| 		| 1992	| SNK		| Neo Geo MVS	| 					|
| mvpjd		|  	| MVP (set 1, Japan, FD1094 317-0142 decrypted)		| mvp		| 1989	| Sega		| System 16B	| 					|
| mvpj		|  	| MVP (set 1, Japan, FD1094 317-0142)			| mvp		| 1989	| Sega		| System 16B	| 					|
| mvpd		|  	| MVP (set 2, US, FD1094 317-0143 decrypted)		| mvp		| 1989	| Sega		| System 16B	| 					|
| mvp		|  	| MVP (set 2, US, FD1094 317-0143)			| 		| 1989	| Sega		| System 16B	| 					|
| mx5000	|  	| MX5000						| 		| 1987	| Konami	| GX669		| 					|
| myherobl	|  	| My Hero (bootleg, 315-5132 encryption)		| myhero	| 1985	| bootleg	| System 1	| 					|
| myherok	|  	| My Hero (Korea)					| myhero	| 1985	| Coreland / Seg| System 1	| 					|
| myhero	|  	| My Hero (US, not encrypted)				| 		| 1985	| Sega		| System 1	| 					|
| mystston	|  	| Mysterious Stones - Dr. John's Adventure		| 		| 1984	| Technos	| Miscellaneous	| 					|
| myststono	|  	| Mysterious Stones - Dr. Kick in Adventure		| mystston	| 1984	| Technos	| Miscellaneous	| 					|
| myststonoi	|  	| Mysterious Stones - Dr. Kick in Adventure (Itisa PCB)	| mystston	| 1984	| Technos	| Miscellaneous	| 					|
| mysticrib	|  	| Mystic Riders (bootleg?)				| mysticri	| 1992	| Irem		| Irem M92	| 					|
| mysticri	|  	| Mystic Riders (World)					| 		| 1992	| Irem		| Irem M92	| 					|
| mystwarraa	|  	| Mystic Warriors (ver AAA)				| mystwarr	| 1993	| Konami	| GX128		| 					|
| mystwarra	|  	| Mystic Warriors (ver AAB)				| mystwarr	| 1993	| Konami	| GX128		| 					|
| mystwarr	|  	| Mystic Warriors (ver EAA)				| 		| 1993	| Konami	| GX128		| 					|
| mystwarrj	|  	| Mystic Warriors (ver JAA)				| mystwarr	| 1993	| Konami	| GX128		| 					|
| mystwarru	|  	| Mystic Warriors (ver UAA)				| mystwarr	| 1993	| Konami	| GX128		| 					|
| nsub		| D	| N-Sub (upright)					| 		| 1980	| Sega		| Miscellaneous	| 					|
| nam1975	|  	| NAM-1975 (NGM-001)(NGH-001)				| 		| 1990	| SNK		| Neo Geo MVS	| 					|
| naname	|  	| Naname de Magic!					| 		| 1994	| Atlus		| Miscellaneous	| 					|
| nndmseal	| D NW	| Nandemo Seal Iinkai					| 		| 1997	| I'Max / Jaleco| Miscellaneous	| 					|
| nndmseala	| D NW	| Nandemo Seal Iinkai (Astro Boy ver.)			| nndmseal	| 1997	| I'Max / Jaleco| Miscellaneous	| 					|
| nastar	|  	| Nastar (World)					| 		| 1988	| Taito Corporat| Taito B System| 					|
| nastarw	|  	| Nastar Warrior (US)					| nastar	| 1988	| Taito America | Taito B System| 					|
| naughtyb	|  	| Naughty Boy						| 		| 1982	| Jaleco	| Miscellaneous	| 					|
| naughtyba	|  	| Naughty Boy (bootleg, set 1)				| naughtyb	| 1982	| bootleg	| Miscellaneous	| 					|
| naughtybb	|  	| Naughty Boy (bootleg, set 2)				| naughtyb	| 1982	| bootleg	| Miscellaneous	| 					|
| naughtybc	|  	| Naughty Boy (Cinematronics)				| naughtyb	| 1982	| Jaleco (Cinema| Miscellaneous	| 					|
| nmouse	|  	| Naughty Mouse (set 1)					| 		| 1981	| Amenip (Palcom| Pac-man	| 					|
| nmouseb	|  	| Naughty Mouse (set 2)					| nmouse	| 1981	| Amenip Nova Ga| Pac-man	| 					|
| navarone	|  	| Navarone						| 		| 1980	| Namco		| Miscellaneous	| 					|
| nbahangt	| D	| NBA Hangtime (rev L1.1 04/16/96)			| 		| 1996	| Midway	| MIDWAY Wolf-Un| 					|
| nbajamr1	| D NW	| NBA Jam (rev 1.00 02/1/93)				| nbajam	| 1993	| Midway	| Midway T-Unit	| 					|
| nbajamr2	| D NW	| NBA Jam (rev 2.00 02/10/93)				| nbajam	| 1993	| Midway	| Midway T-Unit	| 					|
| nbajam	| D NW	| NBA Jam (rev 3.01 04/07/93)				| 		| 1993	| Midway	| Midway T-Unit	| 					|
| nbajamten	| D NW	| NBA Jam T.E. Nani Edition (rev 5.2 8/11/95, prototype)| nbajamte	| 1995	| Midway	| Midway T-Unit	| 					|
| nbajamte1	| D NW	| NBA Jam TE (rev 1.0 01/17/94)				| nbajamte	| 1994	| Midway	| Midway T-Unit	| 					|
| nbajamte2	| D NW	| NBA Jam TE (rev 2.0 01/28/94)				| nbajamte	| 1994	| Midway	| Midway T-Unit	| 					|
| nbajamte3	| D NW	| NBA Jam TE (rev 3.0 03/04/94)				| nbajamte	| 1994	| Midway	| Midway T-Unit	| 					|
| nbajamte	| D NW	| NBA Jam TE (rev 4.0 03/23/94)				| 		| 1994	| Midway	| Midway T-Unit	| 					|
| nbamht1	| D	| NBA Maximum Hangtime (rev 1.0 11/08/96)		| nbamht	| 1996	| Midway	| MIDWAY Wolf-Un| 					|
| nbamht	| D	| NBA Maximum Hangtime (rev 1.03 06/09/97)		| 		| 1996	| Midway	| MIDWAY Wolf-Un| 					|
| nebulbee	|  	| Nebulous Bee						| galaga	| 1981	| bootleg	| Miscellaneous	| 					|
| kuniokunb	|  	| Nekketsu Kouha Kunio-kun (Japan bootleg)		| renegade	| 1986	| bootleg	| Miscellaneous	| 					|
| kuniokun	|  	| Nekketsu Kouha Kunio-kun (Japan)			| renegade	| 1986	| Technos	| Miscellaneous	| 					|
| nemesis	|  	| Nemesis (ROM version)					| 		| 1985	| Konami	| GX400		| 					|
| nemesisuk	|  	| Nemesis (World?, ROM version)				| nemesis	| 1985	| Konami	| GX400		| 					|
| nemor1	|  	| Nemo (90 11 09 etc)					| nemo		| 1990	| Capcom	| CPS1		| 					|
| nemoj		|  	| Nemo (90 11 20 Japan)					| nemo		| 1990	| Capcom	| CPS1		| 					|
| nemo		|  	| Nemo (90 11 30 etc)					| 		| 1990	| Capcom	| CPS1		| 					|
| neo2500	|  	| Neo 2500 Demo						| 		| 2004	| blastar@gmx.ne| Neo Geo MVS	| 					|
| neobombe	|  	| Neo Bomberman						| 		| 1997	| Hudson	| Neo Geo MVS	| 					|
| neocstlv	|  	| Neo CastleVania Demo					| 		| 2004	| Barf/BarfHappy| Neo Geo	| 					|
| neodrift	|  	| Neo Drift Out - New Technology			| 		| 1996	| Visco		| Neo Geo MVS	| 					|
| neogeo	|   NW	| Neo Geo						| 		| 1990	| SNK		| Neo Geo MVS	| BIOS only				|
| neocdz	|  	| Neo Geo CDZ system					| 		| 1996	| SNK		| Neo Geo CDZ	| System - media selected seperately	|
| neogeo	|  	| Neo Geo MVS system					| 		| 1990	| SNK		| Neo Geo MVS	| System - cartridges selected seperatel|
| neomrdo	|  	| Neo Mr. Do!						| 		| 1996	| Visco		| Neo Geo MVS	| 					|
| neonopon	|  	| Neo No Panepon (beta)					| 		| ????	| blastar@gmx.ne| Neo Geo MVS	| 					|
| neoponga	|  	| Neo Pong (ver 1.0)					| neopong	| 2002	| Neo Dev Corpor| Neo Geo MVS	| 					|
| neopong	|  	| Neo Pong (ver 1.1)					| 		| 2002	| Neo Dev Corpor| Neo Geo MVS	| 					|
| syscheck	|  	| Neo System Check (ver 1.0b)				| 		| ????	| blastar@gmx.ne| Neo Geo MVS	| 					|
| neothndr	|  	| Neo Thunder						| 		| 2012	| Sebastian Miha| Neo Geo	| sebastianmihai.com			|
| turfmast	|  	| Neo Turf Masters / Big Tournament Golf		| 		| 1996	| Nazca		| Neo Geo MVS	| 					|
| neocup98	|  	| Neo-Geo Cup '98 - The Road to the Victory		| 		| 1998	| SNK		| Neo Geo MVS	| 					|
| neotet	|  	| NeoGeo 2-Player Tetris				| 		| 2013	| Crim/Stephen	| Neo Geo	| 					|
| neo3ddmo	|  	| NeoGeo 3D! Demo					| 		| 2012	| Oxygene	| Neo Geo	| 					|
| netwars	|  	| Net Wars						| 		| 1983	| Orca (Esco Tra| Miscellaneous	| 					|
| newapunk	|  	| New Atomic Punk - Global Quest (US)			| bbmanw	| 1992	| Irem America	| Irem M90	| 					|
| newfanta	|  	| New Fantasia (1994 copyright)				| newfant	| 1995	| Comad / New Ja| Miscellaneous	| 					|
| newfant	|  	| New Fantasia (1995 copyright)				| 		| 1995	| Comad / New Ja| Miscellaneous	| 					|
| newpuckx	|  	| New Puck-X						| puckman	| 1980	| hack		| Pac-man	| 					|
| nrallyx	|  	| New Rally X						| 		| 1981	| Namco		| Miscellaneous	| 					|
| newsin7	|  	| New Sinbad 7						| 		| 1983	| ATW USA, Inc.	| Galaxian	| 					|
| newtangl	|  	| New Tropical Angel					| troangel	| 1983	| Irem		| Miscellaneous	| 					|
| nzeroteam	|  	| New Zero Team (V33 SYSTEM TYPE_B hardware)		| zeroteam	| 1997	| Seibu Kaihatsu| Miscellaneous	| 					|
| nzeroteama	|  	| New Zero Team (V33 SYSTEM TYPE_B hardware, China?)	| zeroteam	| 1997	| Seibu Kaihatsu| Miscellaneous	| 					|
| newpuc2	|  	| Newpuc2						| puckman	| 1980	| hack		| Pac-man	| 					|
| newpuc2b	|  	| Newpuc2b						| puckman	| 1980	| hack		| Pac-man	| 					|
| news		|  	| News (set 1)						| 		| 1993	| Poby / Virus	| Miscellaneous	| 					|
| newsa		|  	| News (set 2)						| news		| 1993	| Poby / Jeansol| Miscellaneous	| 					|
| nextfase	|  	| Next Fase (bootleg of Phoenix)			| phoenix	| 1980	| bootleg (Petac| Miscellaneous	| 					|
| nflfoot	| D NW	| NFL Football						| 		| 1983	| Bally Midway	| Miscellaneous	| 					|
| ngem2k	|  	| NGEM2K (beta 2006-01-18)				| 		| 2006	| homebrew	| Neo Geo MVS	| 					|
| ngftdemo	|  	| NGF Transparency Demo					| 		| 2012	| CeL		| Neo Geo	| redarmor.net				|
| nibblero	|  	| Nibbler (Olympia - rev 8)				| nibbler	| 1983	| Rock-Ola (Olym| Miscellaneous	| 					|
| nibblerp	|  	| Nibbler (Pioneer Balloon conversion - rev 6)		| nibbler	| 1982	| Rock-Ola	| Miscellaneous	| 					|
| nibbler6	|  	| Nibbler (rev 6)					| nibbler	| 1982	| Rock-Ola	| Miscellaneous	| 					|
| nibbler7	|  	| Nibbler (rev 7)					| nibbler	| 1982	| Rock-Ola	| Miscellaneous	| 					|
| nibbler8	|  	| Nibbler (rev 8)					| nibbler	| 1982	| Rock-Ola	| Miscellaneous	| 					|
| nibbler	|  	| Nibbler (rev 9)					| 		| 1982	| Rock-Ola	| Miscellaneous	| 					|
| nibblera	|  	| Nibbler (rev 9, alternate set)			| nibbler	| 1982	| Rock-Ola	| Miscellaneous	| 					|
| nitedrvr	|  	| Night Driver						| 		| 1976	| Atari		| Miscellaneous	| 					|
| nslasherj	|  	| Night Slashers (Japan Rev 1.2, DE-0397-0 PCB)		| nslasher	| 1994	| Data East Corp| DECO 32	| 					|
| nslasher	|  	| Night Slashers (Korea Rev 1.3, DE-0397-0 PCB)		| 		| 1994	| Data East Corp| DECO 32	| 					|
| nslashers	|  	| Night Slashers (Over Sea Rev 1.2, DE-0397-0 PCB)	| nslasher	| 1994	| Data East Corp| DECO 32	| 					|
| nslasheru	|  	| Night Slashers (US Rev 1.2, DE-0395-1 PCB)		| nslasher	| 1994	| Data East Corp| DECO 32	| 					|
| cnightst	|  	| Night Star (DECO Cassette) (US) (set 1)		| 		| 1983	| Data East Corp| Cassette Syste| 					|
| cnightst2	|  	| Night Star (DECO Cassette) (US) (set 2)		| cnightst	| 1983	| Data East Corp| Cassette Syste| 					|
| nightstrj	|  	| Night Striker (Japan)					| nightstr	| 1989	| Taito Corporat| Taito Z	| 					|
| nightstru	|  	| Night Striker (US)					| nightstr	| 1989	| Taito America | Taito Z	| 					|
| nightstr	|  	| Night Striker (World)					| 		| 1989	| Taito Corporat| Taito Z	| 					|
| nwarra	|  	| Night Warriors - darkstalkers' revenge (950302 Asia)	| nwarr		| 1995	| Capcom	| CPS2		| 					|
| nwarr		|  	| Night Warriors - darkstalkers' revenge (950316 Euro)	| 		| 1995	| Capcom	| CPS2		| 					|
| nwarrb	|  	| Night Warriors - darkstalkers' revenge (950403 Brazil)| nwarr		| 1995	| Capcom	| CPS2		| 					|
| nwarrh	|  	| Night Warriors - darkstalkers' revenge (950403 Hispani| nwarr		| 1995	| Capcom	| CPS2		| 					|
| nwarrud	|  	| Night Warriors - darkstalkers' revenge (950406 USA Pho| nwarr		| 1995	| bootleg	| CPS2		| 					|
| nwarru	|  	| Night Warriors - darkstalkers' revenge (950406 USA)	| nwarr		| 1995	| Capcom	| CPS2		| 					|
| nitd		|  	| Nightmare in the Dark					| 		| 2000	| Eleven / Gavak| Neo Geo MVS	| 					|
| nitdbl	|  	| Nightmare in the Dark (bootleg)			| nitd		| 2001	| bootleg	| Neo Geo MVS	| 					|
| ninja		|  	| Ninja (315-5102)					| seganinj	| 1985	| Sega		| System 1	| 					|
| nbbatmanu	|  	| Ninja Baseball Batman (US)				| nbbatman	| 1993	| Irem America	| Irem M92	| 					|
| nbbatman	|  	| Ninja Baseball Batman (World)				| 		| 1993	| Irem		| Irem M92	| 					|
